golden_provider_id,cluster_size,source_system_anchor,updated_at_anchor,npi,first_name,last_name,gender,specialty,email,phone,address_line1,city,state,postal_code,country,record_status
GPROV0000001,1,CRM_A,2025-10-29T23:33:24,3342331444.0,Isaac,Bakshi,F,Pediatrics,yash32@example.net,8196001338,38/63 mall chowk,Kozhikode,AL,40495,US,Active
GPROV0000002,1,CRM_B,2025-12-01T17:37:06,,Isaac,Bakshi,F,Pediatrics,yash32@example.net,8196001338,38/63 mall chowk,Kozhikode,AL,40495,US,Active
GPROV0000003,2,CRM_A,2025-11-03T06:48:48,4733616459.0,Pahal,Oak,M,Pulmonology,nachiket35@example.org,6155940781,h.no. 849 handa path,Ranchi,TX,46421,US,Active
GPROV0000004,2,CRM_A,2026-01-18T10:12:32,9776552803.0,Vedant,Mann,M,Oncology,kaulharrison@example.com,7525534192,764 kanda circle,Pimpri-Chinchwad,MD,20328,US,Active
GPROV0000005,1,CRM_A,2026-01-01T10:12:41,,Veer,Balay,M,Pulmonology,nandini41@example.org,5376724238,96/965 devi ganj,Mysore,DL,793384,IN,Active
GPROV0000006,1,CRM_B,2025-11-07T11:29:00,,Veer,Balay,M,Pulmonology,nandini41@example.org,5376724238,96/965 devi ganj,Mysore,DL,793384,IN,Active
GPROV0000007,1,CRM_B,2025-11-27T20:18:24,,Veer,Balay,M,Pulmonology,nandini41@example.org,5376724238,96/965 devi ganj,Mysore,DL,793384,IN,Active
GPROV0000008,1,CRM_A,2025-11-05T20:19:36,,Champak,Choudhary,F,Endocrinology,nathanielsami@example.net,6697848018,51/462 aggarwal chowk,Orai,KA,482554,IN,Active
GPROV0000009,1,CRM_B,2026-01-01T21:47:06,,Champak,Choudhary,F,Endocrinology,nathanielsami@example.net,6697848018,51/462 aggarwal chowk,Orai,KA,482554,IN,Active
GPROV0000010,2,CRM_A,2026-01-02T23:32:30,4131575764.0,Pranav,Tripathi,U,Psychiatry,,2528809570,h.no. 43 khosla nagar,Guwahati,FL,93886,US,Active
GPROV0000011,1,CRM_B,2026-01-17T22:26:08,,Pranav,Tripathi,U,Psychiatry,misrayashica@example.net,2528809570,h.no. 43 khosla nagar,Guwahati,FL,93886,US,Active
GPROV0000012,3,CRM_A,2025-12-25T03:32:06,1284277889.0,Vedika,Biswas,F,General Medicine,,2278248963,46/578 dara chowk,Kamarhati,AK,37869,US,Inactive
GPROV0000013,1,CRM_A,2025-11-18T23:23:39,7609857128.0,Devansh,Nigam,F,Pediatrics,karpethomas@example.org,0310518347,29/97 solanki ganj,Jhansi,NY,57447,US,Active
GPROV0000014,1,CRM_B,2025-11-25T03:03:48,,Devansh,Nigam,F,Endocrinology,karpethomas@example.org,0310518347,29/97 solanki ganj,Jhansi,NY,57447,US,Active
GPROV0000015,1,CRM_A,2026-02-06T07:07:23,,Girindra,Chatterjee,F,Cardiology,,0106513338,624 krish chowk,Mango,TS,267753,IN,Inactive
GPROV0000016,1,CRM_A,2025-12-16T18:54:47,5047709743.0,Guneet,Bedi,M,Orthopedics,chanderwarjas@example.org,7736026064,h.no. 68 dubey chowk,Sagar,NC,44973,US,Active
GPROV0000017,1,CRM_A,2025-12-09T23:02:39,,Teerth,Bhardwaj,F,Neurology,,7882081219,36/193 baral,Gurgaon,NJ,91959,US,Active
GPROV0000018,1,CRM_B,2025-12-19T04:06:21,,Teerth,Bhardwaj,F,Neurology,murthydakshesh@example.org,7882081219,36/193 baral,Gurgaon,NJ,91959,US,Active
GPROV0000019,1,CRM_A,2025-10-20T01:19:38,,Teerth,Bhardwaj,F,Neurology,murthydakshesh@example.org,7882081219,36/193 baral,Gurgaon,NJ,91959,US,Active
GPROV0000020,1,CRM_A,2025-12-13T12:36:58,,Diya,Lal,F,General Medicine,diptakhare@example.com,2475107991,38/42 biswas path,Uluberia,DL,916449,IN,Active
GPROV0000021,1,CRM_B,2025-10-11T20:44:16,,Diya,Lal,F,General Medicine,diptakhare@example.com,2475107991,38/42 biswas path,Uluberia,DL,916449,IN,Active
GPROV0000022,2,CRM_A,2026-02-09T03:09:18,1338258951.0,Bhavani,Dugar,M,Neurology,nmittal@example.net,0841241182,h.no. 93 jani path,Dibrugarh,OH,79822,US,Active
GPROV0000023,2,CRM_A,2026-02-14T16:57:28,7900268326.0,Vrinda,Krishnamurthy,F,Neurology,,,h.no. 640 nath nagar,Firozabad,OH,36365,US,Active
GPROV0000024,2,CRM_A,2025-11-22T03:44:25,1965067727.0,Neel,Sathe,U,Gastroenterology,handra@example.org,2805982620,h.no. 05 krish ganj,Raichur,MI,38864,US,Active
GPROV0000025,2,CRM_A,2025-12-08T00:50:13,6317189421.0,Niharika,Dubey,F,General Medicine,nicholasgoel@example.com,2563421607,754 kapoor ganj,Nellore,AK,84847,US,Inactive
GPROV0000026,3,CRM_A,2026-01-02T11:34:05,7146318035.0,Mohini,Narasimhan,F,Oncology,ekaraj45@example.net,6850142940,65/56 vaidya,Kharagpur,OH,98259,US,Active
GPROV0000027,2,CRM_A,2026-02-04T20:07:40,7598297060.0,Ranveer,Kumar,F,Pediatrics,sarinaarav@example.net,3561595148,65/648 handa street,Nadiad,MD,19880,US,Inactive
GPROV0000028,1,CRM_A,2026-01-01T23:03:25,,Owen,Mitra,F,Psychiatry,,8044369957,38 gara chowk,Anantapuram,WB,197793,IN,Active
GPROV0000029,1,CRM_B,2025-11-21T02:12:16,,Owen,Mitra,F,Psychiatry,,8044369957,38 gara chowk,Anantapuram,WB,197793,IN,Active
GPROV0000030,1,CRM_A,2025-11-29T09:06:45,6971815972.0,Yutika,Nayak,M,Cardiology,,3433200379,69 rajagopalan ganj,Silchar,OH,82845,US,Inactive
GPROV0000031,2,CRM_A,2025-11-17T07:50:00,9851745355.0,Yagnesh,Divan,F,Pulmonology,chhabrapavani@example.org,8708317278,98 sehgal marg,Fatehpur,MA,79615,US,Active
GPROV0000032,1,CRM_A,2026-01-28T08:01:03,6305160342.0,Shivani,Lad,F,Oncology,,3471434558,236 kala street,Vijayanagaram,PA,87924,US,Active
GPROV0000033,1,CRM_B,2025-10-07T15:09:06,,Shivani,Lad,F,Oncology,aradhanaverma@example.com,3471434558,236 kala street,Vijayanagaram,PA,87924,US,Active
GPROV0000034,2,CRM_A,2025-12-03T15:35:28,2119980130.0,Nikita,Narayanan,U,Orthopedics,dsagar@example.org,6909670546,89/37 mahajan ganj,Shivpuri,NJ,27154,US,Active
GPROV0000035,1,CRM_A,2025-12-19T01:40:34,2139027119.0,Ayush,Ramachandran,U,Oncology,,6272980699,h.no. 627 bedi street,Nadiad,AZ,58434,US,Active
GPROV0000036,1,CRM_B,2026-01-04T06:23:38,,Ayush,Ramachandran,U,Oncology,,6272980699,h.no. 627 bedi street,Nadiad,AZ,58434,US,Active
GPROV0000037,2,CRM_A,2026-01-31T10:01:46,7676965974.0,Falak,Kakar,U,Psychiatry,,5564641708,h.no. 31 balasubramanian nagar,Kollam,TX,44664,US,Active
GPROV0000038,1,CRM_A,2025-12-11T23:36:01,,Anmol,Dua,M,Neurology,jonathansolanki@example.net,9374529912,h.no. 904 prashad,Davanagere,UP,313487,IN,Active
GPROV0000039,2,CRM_A,2026-02-18T12:09:41,8856990236.0,Faqid,Kibe,F,Oncology,mitrajai@example.net,5865185067,57 saran street,Nagaon,IL,44335,US,Active
GPROV0000040,2,CRM_A,2026-01-21T17:48:44,3373077218.0,Anamika,Yohannan,U,Cardiology,bshroff@example.net,4531473799,h.no. 07 gopal path,Rajpur Sonarpur,TX,15229,US,Active
GPROV0000041,1,CRM_A,2025-11-24T04:51:41,,Isha,Kuruvilla,M,Orthopedics,,8313678377,h.no. 143 kohli marg,Amaravati,GA,41029,US,Active
GPROV0000042,1,CRM_B,2025-10-25T09:04:38,,Isha,Kuruvilla,M,Orthopedics,ati94@example.net,8313678377,h.no. 143 kohli marg,Amaravati,GA,41029,US,Active
GPROV0000043,1,CRM_A,2026-01-21T06:42:13,,Jyoti,Solanki,M,Cardiology,pavani85@example.com,,h.no. 44 dara ganj,Satna,WB,920391,IN,Inactive
GPROV0000044,1,CRM_B,2026-02-02T12:09:15,,Jyoti,Solanki,M,Cardiology,pavani85@example.com,,h.no. 44 dara ganj,Satna,WB,920391,IN,Inactive
GPROV0000045,1,CRM_A,2025-12-23T21:04:14,,Jagdish,Wason,F,Neurology,,4989413435,h.no. 08 mahal street,Meerut,WB,501124,IN,Active
GPROV0000046,1,CRM_B,2026-01-01T21:31:28,,Jagdish,Wason,F,Neurology,rehaankalita@example.net,4989413435,h.no. 08 mahal street,Meerut,WB,501124,IN,Active
GPROV0000047,1,CRM_A,2025-11-20T21:28:34,,Brinda,Date,M,General Medicine,achauhan@example.net,7775204711,19 doshi nagar,Phusro,TS,338651,IN,Active
GPROV0000048,1,CRM_B,2026-01-03T13:55:00,,Brinda,Date,M,General Medicine,achauhan@example.net,7775204711,19 doshi nagar,Phusro,TS,338651,IN,Active
GPROV0000049,1,CRM_A,2025-11-21T09:27:28,,Daksha,Chada,M,Oncology,jagatsaha@example.net,9386774964,13/34 dugar zila,Malegaon,FL,80282,US,Active
GPROV0000050,1,CRM_B,2025-12-19T05:28:23,,Daksha,Chada,M,Oncology,jagatsaha@example.net,9386774964,13/34 dugar zila,Malegaon,FL,80282,US,Active
GPROV0000051,1,CRM_B,2025-11-20T18:22:03,,D.,Chada,M,Oncology,jagatsaha@example.net,9386774964,13/34 dugar zila,Malegaon,FL,80282,US,Active
GPROV0000052,1,CRM_A,2026-01-04T04:36:18,,Falan,Dugar,M,Dermatology,regeshravya@example.net,,h.no. 03 mandal road,Madurai,KA,140115,IN,Active
GPROV0000053,1,CRM_B,2025-10-19T06:21:28,,Falan,Dugar,M,Dermatology,regeshravya@example.net,,h.no. 03 mandal road,Madurai,KA,140115,IN,Active
GPROV0000054,2,CRM_A,2026-02-05T22:16:28,3196545325.0,Vivaan,Lalla,M,Endocrinology,pavanicontractor@example.net,2421024994,h.no. 746 tella road,Bahraich,MI,67154,US,Active
GPROV0000055,2,CRM_A,2025-12-10T02:38:25,2852408227.0,Faris,Baral,U,Psychiatry,,,59/401 bail ganj,Gangtok,TX,96951,US,Active
GPROV0000056,2,CRM_A,2025-12-08T12:56:10,8289454630.0,Banjeet,Gill,U,Endocrinology,pvenkataraman@example.com,2967175655,567 rattan road,Malda,MA,59695,US,Active
GPROV0000057,2,CRM_A,2025-12-28T03:31:17,8106906538.0,Gaurang,Murty,F,Neurology,ekiya16@example.net,8760385977,482 sarma road,Bhilai,MA,72021,US,Active
GPROV0000058,1,CRM_B,2025-12-28T16:59:36,,Gaurang,Murty,F,Neurology,ekiya16@example.net,8760385977,482 sarma road,Bhilai,MA,72021,US,Active
GPROV0000059,3,CRM_A,2025-12-28T01:17:16,4226113732.0,Ayush,Khatri,U,Pulmonology,deepaatwal@example.net,1317127484,73 dhillon chowk,Jhansi,MA,13201,US,Active
GPROV0000060,3,CRM_A,2026-02-04T22:45:14,8285786023.0,Yashoda,Deshpande,F,Gastroenterology,majumdaroeshi@example.com,4044997278,h.no. 58 purohit circle,Pondicherry,OH,10726,US,Active
GPROV0000061,1,CRM_A,2026-01-01T01:02:13,,Ranbir,Khare,U,Orthopedics,xkaur@example.com,5766270289,h.no. 718 aurora chowk,Alappuzha,TS,989545,IN,Active
GPROV0000062,1,CRM_B,2025-12-27T21:33:38,,Ranbir,Khare,U,Orthopedics,xkaur@example.com,5766270289,h.no. 718 aurora chowk,Alappuzha,TS,989545,IN,Active
GPROV0000063,1,CRM_B,2025-11-18T15:50:47,,Ranbir,Khare,U,Orthopedics,xkaur@example.com,5766270289,h.no. 718 aurora chowk,Alappuzha,TS,989545,IN,Active
GPROV0000064,2,CRM_A,2026-01-01T07:37:57,8995059760.0,Mohammed,Borde,U,Pulmonology,vlanka@example.net,6158657809,431 chaudhari marg,Raiganj,NY,46347,US,Inactive
GPROV0000065,2,CRM_A,2025-10-08T20:57:24,6737421496.0,Ojas,Mistry,U,Neurology,,0504556238,22/21 raja,Mehsana,IL,60205,US,Active
GPROV0000066,2,CRM_A,2025-11-23T22:34:34,1267429212.0,Luke,Kata,M,Orthopedics,dkumar@example.com,0748217594,47/436 chhabra chowk,Eluru,AZ,12560,US,Inactive
GPROV0000067,2,CRM_A,2025-12-30T17:32:53,4856070374.0,Jagrati,Merchant,M,Endocrinology,anthony64@example.org,0974395339,21/047 patla nagar,Mysore,MI,60968,US,Active
GPROV0000068,1,CRM_A,2025-12-25T02:34:04,,Chakrika,Narain,M,Dermatology,mgill@example.org,5884247451,h.no. 236 pau circle,Tenali,NC,96900,US,Active
GPROV0000069,1,CRM_B,2025-12-24T07:19:49,,Chakrika,Narain,M,Dermatology,,5884247451,h.no. 236 pau circle,Tenali,NC,96900,US,Active
GPROV0000070,1,CRM_B,2025-11-16T16:22:38,,Chakrika,Narain,M,Dermatology,mgill@example.org,5884247451,h.no. 236 pau circle,Tenali,NC,96900,US,Active
GPROV0000071,1,CRM_A,2025-12-29T06:38:22,6923206003.0,Akshay,Lalla,M,Dermatology,,4965137098,31/74 dada marg,Ranchi,NJ,59692,US,Active
GPROV0000072,1,CRM_B,2025-12-15T22:12:09,,Akshay,Lalla,M,Dermatology,shajyoti@example.net,4965137098,31/74 dada marg,Ranchi,NJ,59692,US,Active
GPROV0000073,1,CRM_A,2025-10-25T22:55:32,,Baljiwan,Modi,F,Gastroenterology,gdalia@example.org,2675869261,64/05 sawhney ganj,Noida,WB,466960,IN,Active
GPROV0000074,1,CRM_A,2026-01-01T00:52:20,,Janani,Chaudhary,F,Pediatrics,,1713900532,h.no. 839 kaul ganj,Siliguri,AK,24993,US,Active
GPROV0000075,1,CRM_B,2025-11-17T18:16:04,,Janani,Chaudhary,F,Psychiatry,jagrati06@example.com,1713900532,h.no. 839 kaul ganj,Siliguri,AK,24993,US,Active
GPROV0000076,2,CRM_A,2025-10-25T20:46:04,4518871744.0,Aarnav,Malhotra,F,Pulmonology,,2842102053,h.no. 240 sama street,Rajkot,IL,50888,US,Inactive
GPROV0000077,1,CRM_A,2025-11-08T12:40:06,,Vamakshi,Sen,U,Psychiatry,yochana91@example.com,3908470076,17/711 divan path,Cuttack,TS,416232,IN,Active
GPROV0000078,1,CRM_A,2025-10-31T06:49:44,,Anvi,Nair,M,Orthopedics,swali@example.com,9611836736,66 munshi zila,Satara,DL,630538,IN,Active
GPROV0000079,1,CRM_B,2025-12-31T09:02:42,,Anvi,Nair,M,Orthopedics,,9611836736,66 munshi zila,Satara,DL,630538,IN,Active
GPROV0000080,1,CRM_A,2025-10-19T21:14:50,,Aadhya,Prasad,F,Endocrinology,,1615280988,16/560 muni road,Vasai-Virar,NJ,67080,US,Active
