golden_provider_id,source_system,provider_id_source,npi,updated_at,mapped_at
GPROV0000001,CRM_A,CRM_A_P_PROV_00000_567,3342331444.0,2025-10-29T23:33:24,2026-02-05T15:23:20
GPROV0000002,CRM_B,CRM_B_P_PROV_00000_970,,2025-12-01T17:37:06,2026-02-05T15:23:20
GPROV0000003,CRM_A,CRM_A_P_PROV_00001_370,4733616459.0,2025-11-03T06:48:48,2026-02-05T15:23:20
GPROV0000003,CRM_B,CRM_B_P_PROV_00001_177,4733616459.0,2025-10-26T17:54:16,2026-02-05T15:23:20
GPROV0000004,CRM_A,CRM_A_P_PROV_00002_699,9776552803.0,2026-01-18T10:12:32,2026-02-05T15:23:20
GPROV0000004,CRM_B,CRM_B_P_PROV_00002_562,9776552803.0,2025-12-16T12:21:44,2026-02-05T15:23:20
GPROV0000005,CRM_A,CRM_A_P_PROV_00003_816,,2026-01-01T10:12:41,2026-02-05T15:23:20
GPROV0000006,CRM_B,CRM_B_P_PROV_00003_187,,2025-11-07T11:29:00,2026-02-05T15:23:20
GPROV0000007,CRM_B,CRM_B_P_PROV_00003_806,,2025-11-27T20:18:24,2026-02-05T15:23:20
GPROV0000008,CRM_A,CRM_A_P_PROV_00004_982,,2025-11-05T20:19:36,2026-02-05T15:23:20
GPROV0000009,CRM_B,CRM_B_P_PROV_00004_199,,2026-01-01T21:47:06,2026-02-05T15:23:20
GPROV0000010,CRM_A,CRM_A_P_PROV_00005_593,4131575764.0,2026-01-02T23:32:30,2026-02-05T15:23:20
GPROV0000010,CRM_B,CRM_B_P_PROV_00005_894,4131575764.0,2025-11-27T15:19:11,2026-02-05T15:23:20
GPROV0000011,CRM_B,CRM_B_P_PROV_00005_388,,2026-01-17T22:26:08,2026-02-05T15:23:20
GPROV0000012,CRM_A,CRM_A_P_PROV_00006_205,1284277889.0,2025-12-25T03:32:06,2026-02-05T15:23:20
GPROV0000012,CRM_B,CRM_B_P_PROV_00006_539,1284277889.0,2026-01-03T01:34:29,2026-02-05T15:23:20
GPROV0000012,CRM_B,CRM_B_P_PROV_00006_133,1284277889.0,2025-10-26T03:14:10,2026-02-05T15:23:20
GPROV0000013,CRM_A,CRM_A_P_PROV_00007_444,7609857128.0,2025-11-18T23:23:39,2026-02-05T15:23:20
GPROV0000014,CRM_B,CRM_B_P_PROV_00007_202,,2025-11-25T03:03:48,2026-02-05T15:23:20
GPROV0000015,CRM_A,CRM_A_P_PROV_00008_440,,2026-02-06T07:07:23,2026-02-05T15:23:21
GPROV0000016,CRM_A,CRM_A_P_PROV_00009_449,5047709743.0,2025-12-16T18:54:47,2026-02-05T15:23:21
GPROV0000017,CRM_A,CRM_A_P_PROV_00010_566,,2025-12-09T23:02:39,2026-02-05T15:23:21
