source_system,provider_id_source,npi,first_name,last_name,gender,specialty,email,phone,address_line1,city,state,postal_code,country,updated_at,record_status,email_raw,phone_raw,address_raw,postal_raw
CRM_A,CRM_A_P_PROV_00000_567,3342331444.0,Isaac,Bakshi,F,Pediatrics,yash32@example.net,8196001338,38/63 mall chowk,Kozhikode,AL,40495,US,2025-10-29T23:33:24,Active,yash32@example.net,8196001338,"38/63, Mall Chowk",40495
CRM_B,CRM_B_P_PROV_00000_970,,Isaac,Bakshi,F,Pediatrics,yash32@example.net,8196001338,38/63 mall chowk,Kozhikode,AL,40495,US,2025-12-01T17:37:06,Active,yash32@example.net,8196001338,"38/63, Mall Chowk",40495
CRM_A,CRM_A_P_PROV_00001_370,4733616459.0,Pahal,Oak,M,Pulmonology,nachiket35@example.org,6155940781,h.no. 849 handa path,Ranchi,TX,46421,US,2025-11-03T06:48:48,Active,nachiket35@example.org,615.594.0781,"H.No. 849
Handa Path",46421
CRM_B,CRM_B_P_PROV_00001_177,4733616459.0,Pahal,Oak,M,Pulmonology,,6155940781,h.no. 849 handa path,Ranchi,TX,46421,US,2025-10-26T17:54:16,Active,nachiket35@exampleorg,615 594 0781,"H.No. 849
Handa Path",46421
CRM_A,CRM_A_P_PROV_00002_699,9776552803.0,Vedant,Mann,M,Oncology,kaulharrison@example.com,7525534192,764 kanda circle,Pimpri-Chinchwad,MD,20328,US,2026-01-18T10:12:32,Active,kaulharrison@example.com,+1-752-553-4192,"764, Kanda Circle",20328
CRM_B,CRM_B_P_PROV_00002_562,9776552803.0,Vedant,Mann,M,Oncology,kaulharrison@example.com,7525534192,764 kanda circle,Pimpri-Chinchwad,MD,20328,US,2025-12-16T12:21:44,Active,kaulharrison@example.com,7525534192,"764, Kanda Circle",20328
CRM_A,CRM_A_P_PROV_00003_816,,Veer,Balay,M,Pulmonology,nandini41@example.org,5376724238,96/965 devi ganj,Mysore,DL,793384,IN,2026-01-01T10:12:41,Active,nandini41@example.org,5376724238,"96/965
Devi Ganj",793384
CRM_B,CRM_B_P_PROV_00003_187,,Veer,Balay,M,Pulmonology,nandini41@example.org,5376724238,96/965 devi ganj,Mysore,DL,793384,IN,2025-11-07T11:29:00,Active,nandini41@example.org,537 672 4238,96/965 Devi Ganj,793384
CRM_B,CRM_B_P_PROV_00003_806,,Veer,Balay,M,Pulmonology,nandini41@example.org,5376724238,96/965 devi ganj,Mysore,DL,793384,IN,2025-11-27T20:18:24,Active,nandini41@example.org,+1-537-672-4238,"96/965
Devi Ganj",793384
CRM_A,CRM_A_P_PROV_00004_982,,Champak,Choudhary,F,Endocrinology,nathanielsami@example.net,6697848018,51/462 aggarwal chowk,Orai,KA,482554,IN,2025-11-05T20:19:36,Active,nathanielsami@example.net,669.784.8018,"51/462
Aggarwal Chowk",482554
CRM_B,CRM_B_P_PROV_00004_199,,Champak,Choudhary,F,Endocrinology,nathanielsami@example.net,6697848018,51/462 aggarwal chowk,Orai,KA,482554,IN,2026-01-01T21:47:06,Active,nathanielsami@example.net,6697848018,51/462 Aggarwal Chowk,482554
CRM_A,CRM_A_P_PROV_00005_593,4131575764.0,Pranav,Tripathi,U,Psychiatry,,2528809570,h.no. 43 khosla nagar,Guwahati,FL,93886,US,2026-01-02T23:32:30,Active,,252.880.9570,"H.No. 43, Khosla Nagar",93886
CRM_B,CRM_B_P_PROV_00005_894,4131575764.0,Pranav,Tripathi,U,Psychiatry,,2528809570,h.no. 43 khosla nagar,Guwahati,FL,93886,US,2025-11-27T15:19:11,Active,,252 880 9570,"H.No. 43, Khosla Nagar",93886
CRM_B,CRM_B_P_PROV_00005_388,,Pranav,Tripathi,U,Psychiatry,misrayashica@example.net,2528809570,h.no. 43 khosla nagar,Guwahati,FL,93886,US,2026-01-17T22:26:08,Active,misrayashica@example.net,2528809570,"H.No. 43, Khosla Nagar",93886
