source_system,provider_id_source,npi,first_name,last_name,gender,specialty,email,phone,address_line1,city,state,postal_code,country,updated_at,record_status,entity_key
CRM_A,CRM_A_P_PROV_00000_567,3342331444,Isaac,Bakshi,F,Pediatrics,yash32@example.net,8196001338,"38/63, Mall Chowk",Kozhikode,AL,40495,US,2025-10-29T23:33:24,Active,PROV_00000
CRM_B,CRM_B_P_PROV_00000_970,,Isaac ,Bakshi,F,Pediatrics,yash32@example.net,8196001338,"38/63, Mall Chowk",Kozhikode,AL,40495,US,2025-12-01T17:37:06,Active,PROV_00000
CRM_A,CRM_A_P_PROV_00001_370,4733616459,Pahal,Oak,M,Pulmonology,nachiket35@example.org,615.594.0781,"H.No. 849
Handa Path",Ranchi,TX,46421,US,2025-11-03T06:48:48,Active,PROV_00001
CRM_B,CRM_B_P_PROV_00001_177,4733616459,Pahal,Oak,M,Pulmonology,nachiket35@exampleorg,615 594 0781,"H.No. 849
Handa Path",Ranchi,TX,46421,US,2025-10-26T17:54:16,Active,PROV_00001
CRM_A,CRM_A_P_PROV_00002_699,9776552803,Vedant,Mann,M,Oncology,kaulharrison@example.com,+1-752-553-4192,"764, Kanda Circle",Pimpri-Chinchwad,MD,20328,US,2026-01-18T10:12:32,Active,PROV_00002
CRM_B,CRM_B_P_PROV_00002_562,9776552803,Vedant,Mann,M,Oncology,kaulharrison@example.com,7525534192,"764, Kanda Circle",Pimpri-Chinchwad,MD,20328,US,2025-12-16T12:21:44,Active,PROV_00002
CRM_A,CRM_A_P_PROV_00003_816,,Veer,Balay,M,Pulmonology,nandini41@example.org,5376724238,"96/965
Devi Ganj",Mysore,DL,793384,IN,2026-01-01T10:12:41,Active,PROV_00003
CRM_B,CRM_B_P_PROV_00003_187,,Veer,Balay,M,Pulmonology,nandini41@example.org,537 672 4238,96/965 Devi Ganj,Mysore,DL,793384,IN,2025-11-07T11:29:00,Active,PROV_00003
CRM_B,CRM_B_P_PROV_00003_806,,Veer,Balay,M,Pulmonology,nandini41@example.org,+1-537-672-4238,"96/965
Devi Ganj",Mysore,DL,793384,IN,2025-11-27T20:18:24,Active,PROV_00003
CRM_A,CRM_A_P_PROV_00004_982,,Champak,Choudhary,F,Endocrinology,nathanielsami@example.net,669.784.8018,"51/462
Aggarwal Chowk",Orai,KA,482554,IN,2025-11-05T20:19:36,Active,PROV_00004
CRM_B,CRM_B_P_PROV_00004_199,,Champak ,Choudhary,F,Endocrinology,nathanielsami@example.net,6697848018,51/462 Aggarwal Chowk,Orai,KA,482554,IN,2026-01-01T21:47:06,Active,PROV_00004
CRM_A,CRM_A_P_PROV_00005_593,4131575764,Pranav,Tripathi,U,Psychiatry,,252.880.9570,"H.No. 43, Khosla Nagar",Guwahati,FL,93886,US,2026-01-02T23:32:30,Active,PROV_00005
CRM_B,CRM_B_P_PROV_00005_894,4131575764,Pranav,TRIPATHI,U,Psychiatry,,252 880 9570,"H.No. 43, Khosla Nagar",Guwahati,FL,93886,US,2025-11-27T15:19:11,Active,PROV_00005
CRM_B,CRM_B_P_PROV_00005_388,,Pranav,Tripathi,U,Psychiatry,misrayashica@example.net,2528809570,"H.No. 43, Khosla Nagar",Guwahati,FL,93886,US,2026-01-17T22:26:08,Active,PROV_00005
CRM_A,CRM_A_P_PROV_00006_205,1284277889,Vedika,Biswas,F,General Medicine,,2278248963,"46/578, Dara Chowk",Kamarhati,AK,37869,US,2025-12-25T03:32:06,Inactive,PROV_00006
CRM_B,CRM_B_P_PROV_00006_539,1284277889,Vedika,Biswas,F,General Medicine,,(227) 824-8963,46/578 Dara Chowk,Kamarhati,AK,37869,US,2026-01-03T01:34:29,Inactive,PROV_00006
CRM_B,CRM_B_P_PROV_00006_133,1284277889,Vedika,Biswas,F,Neurology,,2278248963,"46/578, Dara Chowk",Kamarhati,AK,37869,US,2025-10-26T03:14:10,Inactive,PROV_00006
CRM_A,CRM_A_P_PROV_00007_444,7609857128,Devansh,Nigam,F,Pediatrics,karpethomas@example.org,0310518347,"29/97, Solanki Ganj",Jhansi,NY,57447,US,2025-11-18T23:23:39,Active,PROV_00007
CRM_B,CRM_B_P_PROV_00007_202,,Devansh,Nigam,F,Endocrinology,karpethomas@example.org,0310518347,"29/97, Solanki Ganj",Jhansi,NY,57447,US,2025-11-25T03:03:48,Active,PROV_00007
