provider_id_source_1,provider_id_source_2,source_system_1,source_system_2,npi_1,npi_2,email_1,email_2,phone_1,phone_2,name_sim,addr_sim,city_sim,npi_match,email_match,phone_match,postal_match,state_match,match_score,decision,block_key,scored_at
CRM_A_P_PROV_02198_906,CRM_B_P_PROV_02198_542,CRM_A,CRM_B,,,dmadan@example.com,dmadan@example.com,8703221775,8703221775,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::dmadan@example.com,2026-02-05T14:34:21
CRM_A_P_PROV_00000_567,CRM_B_P_PROV_00000_970,CRM_A,CRM_B,3342331444.0,,yash32@example.net,yash32@example.net,8196001338,8196001338,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::yash32@example.net,2026-02-05T14:34:19
CRM_A_P_PROV_00003_816,CRM_B_P_PROV_00003_187,CRM_A,CRM_B,,,nandini41@example.org,nandini41@example.org,5376724238,5376724238,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::nandini41@example.org,2026-02-05T14:34:19
CRM_A_P_PROV_00003_816,CRM_B_P_PROV_00003_806,CRM_A,CRM_B,,,nandini41@example.org,nandini41@example.org,5376724238,5376724238,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::nandini41@example.org,2026-02-05T14:34:19
CRM_B_P_PROV_00003_187,CRM_B_P_PROV_00003_806,CRM_B,CRM_B,,,nandini41@example.org,nandini41@example.org,5376724238,5376724238,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::nandini41@example.org,2026-02-05T14:34:19
CRM_A_P_PROV_00004_982,CRM_B_P_PROV_00004_199,CRM_A,CRM_B,,,nathanielsami@example.net,nathanielsami@example.net,6697848018,6697848018,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::nathanielsami@example.net,2026-02-05T14:34:19
CRM_A_P_PROV_02195_398,CRM_A_P_PROV_02195_401,CRM_A,CRM_A,,,lalekani@example.org,lalekani@example.org,0903957286,0903957286,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::lalekani@example.org,2026-02-05T14:34:21
CRM_A_P_PROV_02190_766,CRM_B_P_PROV_02190_512,CRM_A,CRM_B,3515878959.0,,epai@example.net,epai@example.net,5684426333,5684426333,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::epai@example.net,2026-02-05T14:34:21
CRM_B_P_PROV_02158_342,CRM_B_P_PROV_02158_370,CRM_B,CRM_B,,,chawladevansh@example.org,chawladevansh@example.org,5292383522,5292383522,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::chawladevansh@example.org,2026-02-05T14:34:21
CRM_A_P_PROV_02158_227,CRM_B_P_PROV_02158_370,CRM_A,CRM_B,,,chawladevansh@example.org,chawladevansh@example.org,5292383522,5292383522,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::chawladevansh@example.org,2026-02-05T14:34:21
CRM_A_P_PROV_02158_227,CRM_B_P_PROV_02158_342,CRM_A,CRM_B,,,chawladevansh@example.org,chawladevansh@example.org,5292383522,5292383522,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::chawladevansh@example.org,2026-02-05T14:34:21
CRM_B_P_PROV_02150_918,CRM_B_P_PROV_02150_499,CRM_B,CRM_B,,,hemal79@example.com,hemal79@example.com,0790770455,0790770455,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::hemal79@example.com,2026-02-05T14:34:21
CRM_A_P_PROV_02150_916,CRM_B_P_PROV_02150_499,CRM_A,CRM_B,,,hemal79@example.com,hemal79@example.com,0790770455,0790770455,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::hemal79@example.com,2026-02-05T14:34:21
CRM_A_P_PROV_02150_916,CRM_B_P_PROV_02150_918,CRM_A,CRM_B,,,hemal79@example.com,hemal79@example.com,0790770455,0790770455,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::hemal79@example.com,2026-02-05T14:34:21
CRM_A_P_PROV_02149_871,CRM_B_P_PROV_02149_354,CRM_A,CRM_B,,,lmani@example.com,lmani@example.com,8452733188,8452733188,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::lmani@example.com,2026-02-05T14:34:21
CRM_A_P_PROV_02148_695,CRM_B_P_PROV_02148_177,CRM_A,CRM_B,,,riyajayaraman@example.com,riyajayaraman@example.com,6044867118,6044867118,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::riyajayaraman@example.com,2026-02-05T14:34:21
CRM_B_P_PROV_02147_487,CRM_B_P_PROV_02147_338,CRM_B,CRM_B,,,mandtriya@example.net,mandtriya@example.net,7508057117,7508057117,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::mandtriya@example.net,2026-02-05T14:34:21
CRM_A_P_PROV_02147_607,CRM_B_P_PROV_02147_338,CRM_A,CRM_B,,,mandtriya@example.net,mandtriya@example.net,7508057117,7508057117,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::mandtriya@example.net,2026-02-05T14:34:21
CRM_A_P_PROV_02147_607,CRM_B_P_PROV_02147_487,CRM_A,CRM_B,,,mandtriya@example.net,mandtriya@example.net,7508057117,7508057117,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::mandtriya@example.net,2026-02-05T14:34:21
CRM_A_P_PROV_02145_627,CRM_B_P_PROV_02145_952,CRM_A,CRM_B,,,tsinha@example.net,tsinha@example.net,6970711989,6970711989,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::tsinha@example.net,2026-02-05T14:34:21
CRM_A_P_PROV_00071_396,CRM_B_P_PROV_00071_814,CRM_A,CRM_B,1221670908.0,,yochana20@example.org,yochana20@example.org,7021355690,7021355690,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::yochana20@example.org,2026-02-05T14:34:19
CRM_A_P_PROV_00069_132,CRM_B_P_PROV_00069_518,CRM_A,CRM_B,,,ckulkarni@example.net,ckulkarni@example.net,4505415667,4505415667,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::ckulkarni@example.net,2026-02-05T14:34:19
CRM_A_P_PROV_00065_256,CRM_B_P_PROV_00065_230,CRM_A,CRM_B,8699281063.0,,xbumb@example.org,xbumb@example.org,5152204727,5152204727,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::xbumb@example.org,2026-02-05T14:34:19
CRM_A_P_PROV_00056_112,CRM_B_P_PROV_00056_558,CRM_A,CRM_B,7575259637.0,,bimala51@example.org,bimala51@example.org,6226838851,6226838851,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::bimala51@example.org,2026-02-05T14:34:19
CRM_A_P_PROV_00045_974,CRM_B_P_PROV_00045_151,CRM_A,CRM_B,,,mgill@example.org,mgill@example.org,5884247451,5884247451,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::mgill@example.org,2026-02-05T14:34:19
CRM_B_P_PROV_00040_364,CRM_B_P_PROV_00040_322,CRM_B,CRM_B,,,xkaur@example.com,xkaur@example.com,5766270289,5766270289,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::xkaur@example.com,2026-02-05T14:34:19
CRM_A_P_PROV_00040_202,CRM_B_P_PROV_00040_322,CRM_A,CRM_B,,,xkaur@example.com,xkaur@example.com,5766270289,5766270289,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::xkaur@example.com,2026-02-05T14:34:19
CRM_A_P_PROV_00085_470,CRM_B_P_PROV_00085_149,CRM_A,CRM_B,,,varenya33@example.net,varenya33@example.net,8421993308,8421993308,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::varenya33@example.net,2026-02-05T14:34:19
CRM_A_P_PROV_00083_472,CRM_B_P_PROV_00083_939,CRM_A,CRM_B,,,adoshi@example.net,adoshi@example.net,6897028385,6897028385,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::adoshi@example.net,2026-02-05T14:34:19
CRM_A_P_PROV_00081_811,CRM_B_P_PROV_00081_966,CRM_A,CRM_B,,,devangauri@example.com,devangauri@example.com,7298259526,7298259526,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::devangauri@example.com,2026-02-05T14:34:19
CRM_B_P_PROV_00080_284,CRM_B_P_PROV_00080_341,CRM_B,CRM_B,,,jananimani@example.org,jananimani@example.org,8784991216,8784991216,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::jananimani@example.org,2026-02-05T14:34:19
CRM_A_P_PROV_00080_127,CRM_B_P_PROV_00080_341,CRM_A,CRM_B,,,jananimani@example.org,jananimani@example.org,8784991216,8784991216,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::jananimani@example.org,2026-02-05T14:34:19
CRM_A_P_PROV_00080_127,CRM_B_P_PROV_00080_284,CRM_A,CRM_B,,,jananimani@example.org,jananimani@example.org,8784991216,8784991216,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::jananimani@example.org,2026-02-05T14:34:19
CRM_A_P_PROV_00074_560,CRM_B_P_PROV_00074_514,CRM_A,CRM_B,,,krout@example.org,krout@example.org,5177852892,5177852892,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::krout@example.org,2026-02-05T14:34:19
CRM_B_P_PROV_02144_807,CRM_B_P_PROV_02144_512,CRM_B,CRM_B,,,kabirbath@example.org,kabirbath@example.org,2704225933,2704225933,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,LNPC::parekh::23066::US,2026-02-05T14:34:21
CRM_A_P_PROV_02140_529,CRM_B_P_PROV_02140_336,CRM_A,CRM_B,7159671853.0,,bachittarmuni@example.net,bachittarmuni@example.net,7813145625,7813145625,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::bachittarmuni@example.net,2026-02-05T14:34:21
CRM_A_P_PROV_02138_295,CRM_B_P_PROV_02138_984,CRM_A,CRM_B,4239911168.0,,fariq57@example.net,fariq57@example.net,1555184955,1555184955,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::fariq57@example.net,2026-02-05T14:34:21
CRM_A_P_PROV_02137_633,CRM_B_P_PROV_02137_325,CRM_A,CRM_B,1476473160.0,,jhalak09@example.net,jhalak09@example.net,2816836257,2816836257,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::jhalak09@example.net,2026-02-05T14:34:21
CRM_A_P_PROV_02136_640,CRM_B_P_PROV_02136_331,CRM_A,CRM_B,,,rachitkant@example.net,rachitkant@example.net,3684143446,3684143446,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::rachitkant@example.net,2026-02-05T14:34:21
CRM_B_P_PROV_02135_367,CRM_B_P_PROV_02135_402,CRM_B,CRM_B,,2290960691.0,nishabose@example.org,nishabose@example.org,6694810011,6694810011,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::nishabose@example.org,2026-02-05T14:34:21
CRM_A_P_PROV_02135_106,CRM_B_P_PROV_02135_367,CRM_A,CRM_B,2290960691.0,,nishabose@example.org,nishabose@example.org,6694810011,6694810011,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::nishabose@example.org,2026-02-05T14:34:21
CRM_B_P_PROV_00099_165,CRM_A_P_PROV_00099_394,CRM_B,CRM_A,,6043349038.0,aarini77@example.com,aarini77@example.com,5228728080,5228728080,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::aarini77@example.com,2026-02-05T14:34:19
CRM_A_P_PROV_00099_726,CRM_B_P_PROV_00099_165,CRM_A,CRM_B,6043349038.0,,aarini77@example.com,aarini77@example.com,5228728080,5228728080,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::aarini77@example.com,2026-02-05T14:34:19
CRM_B_P_PROV_00097_260,CRM_B_P_PROV_00097_887,CRM_B,CRM_B,3424843951.0,,skibe@example.net,skibe@example.net,3638546785,3638546785,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,LNPC::dalal::38305::US,2026-02-05T14:34:19
CRM_A_P_PROV_00094_423,CRM_B_P_PROV_00094_112,CRM_A,CRM_B,5877639950.0,,chasmumdhar@example.net,chasmumdhar@example.net,3644089268,3644089268,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::chasmumdhar@example.net,2026-02-05T14:34:19
CRM_A_P_PROV_00088_744,CRM_B_P_PROV_00088_722,CRM_A,CRM_B,,,lchandran@example.org,lchandran@example.org,5304637454,5304637454,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::lchandran@example.org,2026-02-05T14:34:19
CRM_B_P_PROV_00087_424,CRM_B_P_PROV_00087_520,CRM_B,CRM_B,,,suhani88@example.com,suhani88@example.com,8743152742,8743152742,1.0,1.0,1.0,0,1,1,1,1,0.67,manual_review,EMAIL::suhani88@example.com,2026-02-05T14:34:19
